metric_module,metric_function_name,metric_dimension,metric_formula,metric_value,metric_unit,metric_note
服务召请,服务召请（入口）,功能点击趋势-入口点击用户数,去重点击入口用户数,4.0,user,按多入口口径聚合：我要召请按钮0331、服务召请按钮
服务召请,服务召请（入口）,功能点击趋势-入口点击次数,所有入口点击总次数,23.0,cnt,按多入口口径聚合：我要召请按钮0331、服务召请按钮
服务召请,服务召请（详情页）,召请-转化率 CVR,点击提交按钮用户数 / 服务召请详情页访问用户数,1.0,ratio,"submit_users=4, detail_view_users=4"
服务召请,路径分析 服务召请（入口）-详情页-提交,路径漏斗分析-入口到提交转化率,点击提交按钮用户数 / 去重点击入口用户数,1.0,ratio,"entry_users=4, submit_users=4"
圈子,圈子（入口）,功能点击趋势-入口点击用户数,去重点击Tab“圈子”的用户数,2.0,user,若未采到圈子tab点击，则回退使用圈子页面访问用户数
圈子,推荐/关注/话题页,平均浏览时长,浏览总时长 / 浏览人数,1.65,sec_per_user,browse_users=2
圈子,同事圈聚合页,平均浏览时长,浏览总时长 / 浏览人数,0.0,sec_per_user,browse_users=0
我要配件,我要配件（入口）,功能点击趋势-入口点击用户数,去重点击入口用户数,1.0,user,按包含“我要配件按钮”的点击聚合
我要配件,我要配件（入口）,功能点击趋势-入口点击次数,所有入口点击总次数,2.0,cnt,按包含“我要配件按钮”的点击聚合
我要配件,配件列表页,平均浏览时长,浏览总时长 / 浏览人数,0.0,sec_per_user,browse_users=0
我要配件,配件详情页,询价转化率,询价提交人数 / 配件详情页访问UV,0.0,ratio,"submit_users=0, detail_view_users=0"
设备保养,设备保养入口,功能点击趋势-入口点击用户数,去重点击入口用户数,0.0,user,按包含“设备保养/预约保养”的点击聚合
设备保养,设备保养入口,功能点击趋势-入口点击次数,所有入口点击总次数,0.0,cnt,按包含“设备保养/预约保养”的点击聚合
设备保养,设备保养列表页,功能转化率,列表页访问用户数 / 入口点击用户数,0.0,ratio,"list_users=0, entry_users=0"
设备保养,设备保养列表页,访问跳出率,当前埋点不足，未实现,,ratio,需要更明确的下一步行为或离开事件定义，当前脚本暂未支持
产品中心,产品列表页,平均浏览时长,浏览总时长 / 浏览人数,0.0,sec_per_user,browse_users=0
设备,设备tab,功能点击趋势-入口点击用户数,去重点击设备tab用户数,3.0,user,当前按底部设备按钮口径近似
设备,设备tab,功能点击趋势-入口点击次数,所有入口点击总次数,10.0,cnt,当前按底部设备按钮口径近似
设备,工况详情页,功能访问率,功能访问用户数 / 总活跃用户数,0.2,ratio,"detail_users=2, total_users=10"
设备,数据报表,功能访问率,功能访问用户数 / 总活跃用户数,0.1,ratio,"report_users=1, total_users=10"
设备,数据分析,功能访问率,功能访问用户数 / 总活跃用户数,0.1,ratio,"analysis_users=1, total_users=10"
